Software Number,SW Description,Format
X10-41944,SW CD Publisher 2003 W32 Hebrew -2 MLF,EXE
X10-41946,SW CD Office 2003 W32 Hebrew -2 MLF,EXE
X10-41947,SW CD Office Pro 2003 W32 Hebrew -2 Ent MLF,EXE
X10-42138,SW CD Visio Pro 2003 W32 Hungarian MLF,EXE
X10-42139,SW CD Visio Std 2003 W32 Hungarian MLF,EXE
X10-42140,SW CD Visio Std 2003 W32 Portuguese MLF,EXE
X10-42141,SW CD Visio Pro 2003 W32 Portuguese MLF,EXE
X10-42745,SW CD NTRL Excel 2003 W32 Arabic -2 #1 PA BP,EXE
X10-42751,SW CD NTRL Word 2003 W32 Arabic -2 #1 PA BP,EXE
X10-42769,SW CD NTRL Excel 2003 W32 ChnTrad -2 #1 PA BP,EXE
X10-42770,SW CD NTRL Excel 2003 W32 ChnSimp -2 #1 PA BP,EXE
X10-42772,SW CD NTRL Excel 2003 W32 Korean -2 #1 PA BP,EXE
X10-42773,SW CD NTRL Excel 2003 W32 Japanese -2 #1 PA BP,EXE
X10-42774,SW CD NTRL Excel 2003 W32 ChnTrad Hong Kong -2 #1 PA BP,EXE
X10-42781,SW CD NTRL PowerPoint 2003 W32 ChnTrad Hong Kong -2 #1 PA BP,EXE
X10-42783,SW CD NTRL PowerPoint 2003 W32 ChnSimp -2 #1 PA BP,EXE
X10-42784,SW CD NTRL PowerPoint 2003 W32 ChnTrad -2 #1 PA BP,EXE
X10-42785,SW CD NTRL PowerPoint 2003 W32 Korean -2 #1 PA BP,EXE
X10-42786,SW CD NTRL PowerPoint 2003 W32 Japanese -2 #1 PA BP,EXE
X10-42790,SW CD NTRL Word 2003 W32 ChnTrad -2 #1 PA BP,EXE
X10-42792,SW CD NTRL Word 2003 W32 ChnSimp -2 #1 PA BP,EXE
X10-42794,SW CD NTRL Word 2003 W32 Korean -2 #1 PA BP,EXE
X10-42795,SW CD NTRL Word 2003 W32 Japanese -2 #1 PA BP,EXE
X10-42797,SW CD NTRL Word 2003 W32 ChnTrad Hong Kong -2 #1 PA BP,EXE
X10-42971,SW CD SA Exchange Server Apps WINNT English #1 IMF,EXE
X10-42972,SW CD SA Exchange Server Apps WINNT Korean #1 IMF,EXE
X10-42973,SW CD SA Exchange Server Apps WINNT Japanese #1 IMF,EXE
X10-42974,SW CD SA Exchange Server Apps WINNT ChnSimp #1 IMF,EXE
X10-42975,SW CD SA Exchange Server Apps WINNT Spanish #1 IMF,EXE
X10-42976,SW CD SA Exchange Server Apps WINNT Italian #1 IMF,EXE
X10-42977,SW CD SA Exchange Server Apps WINNT German #1 IMF,EXE
X10-42978,SW CD SA Exchange Server Apps WINNT French #1 IMF,EXE
X10-42979,SW CD SA Exchange Server Apps WINNT ChnTrad #1 IMF,EXE
X10-44636,SW CD Office Pro 2003 W32 Hindi -2 Ent MLF,EXE
X10-44638,SW CD Office 2003 W32 Hindi -2 MLF,EXE
X10-44642,SW CD Publisher 2003 W32 Arabic -2 MLF,EXE
X10-44646,SW CD Office 2003 W32 Arabic -2 MLF,EXE
X10-44648,SW CD Office Pro 2003 W32 Arabic -2 Ent MLF,EXE
X10-44669,SW CD Publisher 2003 W32 ChnSimp -2 MLF,EXE
X10-44672,SW CD Publisher 2003 W32 ChnTrad -2 MLF,EXE
X10-44674,SW CD Publisher 2003 W32 Japanese -2 MLF,EXE
X10-44677,SW CD Publisher 2003 W32 Korean -2 MLF,EXE
X10-44678,SW CD Publisher 2003 W32 ChnTrad Hong Kong -2 MLF,EXE
X10-44685,SW CD Office 2003 W32 ChnSimp -2 MLF,EXE
X10-44687,SW CD Office 2003 W32 ChnTrad -2 MLF,EXE
X10-44688,SW CD Office 2003 W32 Japanese -2 MLF,EXE
